replicasConfiguradas;pedidosPorHoraConfigurados;duracionPicoMin;horizonteMin;personasArmadoConfiguradas;planchasConfiguradas;hamburguesasMinConfiguradas;hamburguesasMaxConfiguradas;porcentajeEspecialesConfigurado;porcentajePapasConfigurado;factorCongestionConfigurado;tipo;cocineros;replica;cantidadPedidos;pedidosTerminados;tiempoPromedioPedido;tiempoMaximoPedido;colaCoccionMaxima;colaArmadoMaxima;porcentajeMas20Min;porcentajeMas35Min;porcentajeMas120Min;utilizacionPlancha;utilizacionFreidora;utilizacionArmado;balancePedidos;balanceHamburguesas
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;0;79;79;91,1981;189,7995;0;44;92,4051;78,481;31,6456;18,004;12,46;94,6405;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;1;83;83;97,7311;196,8044;3;48;96,3855;86,747;33,7349;18,3107;13,5275;95,0894;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;2;78;78;97,2371;173,5858;0;45;96,1538;87,1795;35,8974;17,8124;14,2455;94,4443;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;3;66;66;73,052;126,609;0;31;96,9697;87,8788;3,0303;17,0942;12,8891;94,3901;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;4;69;69;73,0814;129,6901;0;31;97,1014;84,058;1,4493;16,3062;11,8528;90,8387;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;5;78;78;81,3223;155,079;1;40;97,4359;87,1795;24,359;18,4816;14,8602;95,6391;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;6;68;68;65,9708;122,6826;0;32;89,7059;80,8824;1,4706;18,0309;14,1509;92,4071;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;7;70;70;56,8686;118,9981;0;28;92,8571;67,1429;0;17,1605;13,5091;93,4925;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;8;81;81;96,5585;173,7989;3;48;97,5309;86,4198;38,2716;18,3963;13,7572;96,0993;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;9;65;65;67,7581;128,135;0;34;98,4615;87,6923;6,1538;17,3026;13,6531;93,0016;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;10;67;67;68,997;126,3181;0;34;88,0597;80,597;8,9552;17,6044;14,1056;92,8707;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;11;72;72;80,6292;154,1271;0;38;94,4444;81,9444;19,4444;17,9473;13,854;94,5955;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;12;58;58;60,9387;114,6932;0;28;93,1034;75,8621;0;18,4493;14,6631;92,8971;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;13;82;82;97,9814;175,1021;0;50;96,3415;87,8049;37,8049;18,4598;14,5126;94,0275;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;14;73;73;72,4119;152,0557;0;36;94,5205;76,7123;16,4384;17,2973;13,1789;92,5915;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;15;73;73;73,4694;136,5526;0;38;91,7808;80,8219;12,3288;17,2994;13,2106;94,1101;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;16;61;61;73,6065;129,6764;0;31;96,7213;81,9672;11,4754;17,1712;12,428;91,6751;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;17;80;80;75,645;146,5534;1;41;90;77,5;22,5;16,8758;12,6003;93,651;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;18;77;77;93,8793;177,9563;0;43;93,5065;84,4156;33,7662;17,8422;13,4264;93,7762;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;19;64;64;63,1611;109,1261;0;32;96,875;79,6875;0;17,5429;13,1159;92,5969;0;0
30;36;120;210;2;2;1;4;0,35;0,75;1;corrida;1;20;81;81;95,6057;184,2242;1;45;95,0617;90,1235;33,3333;18,4358;13,6623;95,9988;0;0
