replicasConfiguradas;pedidosPorHoraConfigurados;duracionPicoMin;horizonteMin;personasArmadoConfiguradas;planchasConfiguradas;hamburguesasMinConfiguradas;hamburguesasMaxConfiguradas;porcentajeEspecialesConfigurado;porcentajePapasConfigurado;factorCongestionConfigurado;tipo;cocineros;replica;cantidadPedidos;pedidosTerminados;tiempoPromedioPedido;tiempoMaximoPedido;colaCoccionMaxima;colaArmadoMaxima;porcentajeMas20Min;porcentajeMas35Min;porcentajeMas120Min;utilizacionPlancha;utilizacionFreidora;utilizacionArmado;balancePedidos;balanceHamburguesas
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;0;27;27;20,6889;38,9184;0;5;44,4444;3,7037;0;7,5091;5,8778;58,634;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;1;24;24;18,1182;24,7232;0;3;29,1667;0;0;7,3824;5,4911;58,6137;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;2;25;25;19,9972;35,9355;0;3;44;4;0;8,5573;6,4504;69,049;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;3;24;24;18,3925;32,4666;0;3;29,1667;0;0;7,0612;5,1227;62,0445;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;4;33;33;17,2684;23,6645;0;3;27,2727;0;0;8,1925;6,22;68,6031;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;5;25;25;16,75;24,2562;0;2;20;0;0;6,5771;5,7196;53,127;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;6;22;22;21,1014;31,8336;0;5;54,5455;0;0;7,308;6,2219;58,0607;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;7;21;21;15,799;21,4774;0;2;9,5238;0;0;5,2986;4,4678;44,2033;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;8;24;24;18,6952;29,242;0;3;29,1667;0;0;7,7182;5,3863;63,6808;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;9;22;22;19,836;28,4053;0;2;45,4545;0;0;7,4691;6,2934;59,5934;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;10;22;22;17,8183;28,6234;0;2;36,3636;0;0;7,0674;5,7586;54,8767;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;11;21;21;18,2773;27,0237;0;2;33,3333;0;0;6,6879;4,3836;51,5715;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;12;18;18;18,991;28,2617;0;2;38,8889;0;0;6,452;5,0375;49,8108;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;13;30;30;22,6658;34,2549;0;4;66,6667;0;0;9,5348;7,8611;71,039;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;14;23;23;16,513;23,3482;0;2;13,0435;0;0;6,4561;4,8311;49,479;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;15;22;22;19,9366;30,6107;0;3;40,9091;0;0;6,7997;5,4483;54,2094;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;16;21;21;17,8369;30,1935;0;1;28,5714;0;0;7,2515;5,0442;57,5977;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;17;23;23;17,9288;23,8478;0;3;30,4348;0;0;6,2296;4,1648;50,3876;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;18;27;27;18,0944;22,8089;0;2;40,7407;0;0;8,3041;6,1407;65,712;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;19;19;19;19,2956;27,7681;0;2;42,1053;0;0;6,8497;5,2292;52,6687;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;20;26;26;18,4747;27,1156;0;3;26,9231;0;0;8,1024;6,1797;65,7474;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;21;23;23;18,7337;26,9034;0;3;30,4348;0;0;7,2707;6,0937;56,8394;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;22;26;26;20,7324;27,3207;0;3;57,6923;0;0;9,4255;6,9378;69,6852;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;23;25;25;19,8018;28,4353;0;3;48;0;0;8,4114;6,113;65,9798;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;24;20;20;16,747;24,8376;0;3;15;0;0;6,4092;4,2969;48,1643;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;25;21;21;18,6154;26,3555;0;3;33,3333;0;0;7,1267;4,8261;56,4009;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;26;23;23;17,4036;23,7276;0;1;21,7391;0;0;7,6155;5,8325;55,6792;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;27;23;23;19,3879;31,8024;0;4;43,4783;0;0;7,8764;5,8715;61,492;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;28;20;20;17,0316;25,0114;0;2;10;0;0;6,9473;4,8035;50,2569;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;1;29;23;23;19,4262;27,7263;0;2;43,4783;0;0;7,6338;5,7181;59,6452;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;0;27;27;20,3508;37,5404;0;6;44,4444;3,7037;0;7,0534;5,5144;59,1534;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;1;24;24;17,4149;23,5756;0;3;25;0;0;6,8933;5,0979;58,9858;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;2;25;25;19,2593;35,316;0;3;36;4;0;7,9083;5,9616;69,4051;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;3;24;24;17,8141;30,9311;0;3;29,1667;0;0;6,5516;4,7583;62,1158;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;4;33;33;16,7763;23,2718;0;3;15,1515;0;0;7,6265;5,7982;68,7044;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;5;25;25;16,1047;22,9584;0;2;16;0;0;6,1833;5,3808;53,7661;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;6;22;22;20,121;32,2079;0;4;50;0;0;6,7439;5,7436;58,1839;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;7;21;21;15,2429;20,5108;0;2;9,5238;0;0;4,9868;4,1935;44,3647;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;8;24;24;17,8873;28,9054;0;3;16,6667;0;0;7,1505;4,9829;63,8815;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;9;22;22;18,883;27,4336;0;3;31,8182;0;0;6,733;5,6906;59,6787;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;10;22;22;17,1594;27,528;0;2;27,2727;0;0;6,5095;5,2931;54,9626;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;11;21;21;17,5416;26,3013;0;2;23,8095;0;0;6,1983;4,085;51,8293;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;12;18;18;18,26;27,0089;0;2;33,3333;0;0;5,9771;4,6479;50,267;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;13;30;30;21,936;33,4773;0;4;66,6667;0;0;8,883;7,3169;71,6716;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;14;23;23;15,9405;22,2335;0;2;8,6957;0;0;6,0605;4,5213;49,8814;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;15;22;22;19,2774;28,1421;0;3;31,8182;0;0;6,2305;4,9904;54,0099;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;16;21;21;17,2523;29,7851;0;1;19,0476;0;0;6,7104;4,6831;57,7759;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;17;23;23;17,2261;22,9322;0;3;26,087;0;0;5,83;3,9018;50,714;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;18;27;27;17,5375;22,1464;0;3;29,6296;0;0;7,73;5,7106;66,2262;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;19;19;19;18,4436;25,9411;0;2;31,5789;0;0;6,2448;4,7702;52,6868;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;20;26;26;17,8329;26,7667;0;3;26,9231;0;0;7,4684;5,7079;65,8207;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;21;23;23;18,2933;25,7091;0;3;30,4348;0;0;6,7626;5,6684;57,5792;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;22;26;26;19,984;26,782;0;3;53,8462;0;0;8,7898;6,474;70,1672;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;23;25;25;19,0453;27,0716;0;3;44;0;0;7,7548;5,6152;66,6649;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;24;20;20;16,2262;22,5241;0;3;5;0;0;6,0044;4,0309;48,3748;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;25;21;21;17,8847;25,0088;0;3;28,5714;0;0;6,6515;4,508;56,9726;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;26;23;23;16,7581;22,9897;0;1;17,3913;0;0;7,0663;5,4124;56,0875;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;27;23;23;18,3499;30,4534;0;4;26,087;0;0;7,4342;5,5265;62,4789;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;28;20;20;16,4412;24,4547;0;2;5;0;0;6,4996;4,4816;50,695;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;2;29;23;23;18,7935;26,8201;0;2;43,4783;0;0;7,1607;5,3438;59,9558;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;0;27;27;20,1419;37,2605;0;6;44,4444;3,7037;0;6,8917;5,3856;59,26;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;1;24;24;17,2146;23,2601;0;3;20,8333;0;0;6,7289;4,9656;59,1109;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;2;25;25;18,976;35,1094;0;3;28;4;0;7,6904;5,7976;69,5247;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;3;24;24;17,6235;30,4192;0;3;25;0;0;6,3815;4,6367;62,1396;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;4;33;33;16,5793;23,2015;0;3;15,1515;0;0;7,4374;5,6573;68,7382;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;5;25;25;15,9097;22,5173;0;2;16;0;0;6,0439;5,2607;53,9285;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;6;22;22;19,8083;31,7057;0;4;50;0;0;6,5719;5,5979;58,3725;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;7;21;21;15,0542;20,1952;0;2;4,7619;0;0;4,8823;4,1016;44,4187;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;8;24;24;17,8457;26,5725;0;3;20,8333;0;0;6,9605;4,8479;63,9487;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;9;22;22;18,5575;27,1097;0;3;27,2727;0;0;6,4935;5,4947;59,7654;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;10;22;22;16,9889;27,1628;0;2;22,7273;0;0;6,3232;5,1376;54,9913;0;0
30;12;120;210;2;3;1;4;0,35;0,75;1;corrida;3;11;21;21;17,3133;26,0605;0;2;23,8095;0;0;6,034;3,9848;51,9158;0;0
