replicasConfiguradas;pedidosPorHoraConfigurados;duracionPicoMin;horizonteMin;personasArmadoConfiguradas;hamburguesasMinConfiguradas;hamburguesasMaxConfiguradas;porcentajeEspecialesConfigurado;porcentajePapasConfigurado;factorCongestionConfigurado;tipo;cocineros;replica;cantidadPedidos;pedidosTerminados;tiempoPromedioPedido;tiempoMaximoPedido;colaCoccionMaxima;colaArmadoMaxima;porcentajeMas20Min;porcentajeMas35Min;porcentajeMas120Min;utilizacionPlancha;utilizacionFreidora;utilizacionArmado;balancePedidos;balanceHamburguesas
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;0;27;27;20,6889;38,9184;0;5;44,4444;3,7037;0;11,2636;8,8167;58,634;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;1;24;24;18,1182;24,7232;0;3;29,1667;0;0;11,0737;8,2367;58,6137;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;2;25;25;19,9972;35,9355;0;3;44;4;0;12,8359;9,6756;69,049;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;3;24;24;18,3925;32,4666;0;3;29,1667;0;0;10,5918;7,684;62,0445;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;4;33;33;17,2684;23,6645;0;3;27,2727;0;0;12,2888;9,33;68,6031;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;5;25;25;16,75;24,2562;0;2;20;0;0;9,8656;8,5794;53,127;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;6;22;22;21,1014;31,8336;0;5;54,5455;0;0;10,962;9,3329;58,0607;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;7;21;21;15,799;21,4774;0;2;9,5238;0;0;7,9479;6,7016;44,2033;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;8;24;24;18,6952;29,242;0;3;29,1667;0;0;11,5773;8,0794;63,6808;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;9;22;22;19,836;28,4053;0;2;45,4545;0;0;11,2037;9,4401;59,5934;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;10;22;22;17,8183;28,6234;0;2;36,3636;0;0;10,601;8,6379;54,8767;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;11;21;21;18,2773;27,0237;0;2;33,3333;0;0;10,0319;6,5754;51,5715;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;12;18;18;18,991;28,2617;0;2;38,8889;0;0;9,6779;7,5562;49,8108;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;13;30;30;22,6658;34,2549;0;4;66,6667;0;0;14,3022;11,7917;71,039;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;14;23;23;16,513;23,3482;0;2;13,0435;0;0;9,6842;7,2466;49,479;0;0
30;12;120;210;2;1;4;0,35;0,75;1;corrida;1;15;22;22;19,9366;30,6107;0;3;40,9091;0;0;10,1995;8,1724;54,2094;0;0
